"WHRS";"KL6";"K618";"WA";"WE";"WW";"HHRS";"HA";"HE";"HW";"MTR";"WMED";"WFED";"UN";"CIT";"AX"
0;0;0;47;12;0;1960;47;12;2,999;0,7715;3;3;14;0;18
0;0;1;47;12;0;2112;52;8;8,0492;0,6915;7;7;14;1;1
0;0;1;37;11;0;2544;39;12;8,577;0,6215;12;7;3;0;0
0;0;2;50;12;0;1700;53;17;9,3235;0,5815;10;12;3;0;6
0;0;3;30;12;0;2550;31;12;4,7059;0,7515;3;7;14;0;1
0;0;1;48;17;0;2080;45;17;9,1346;0,6615;16;17;3;0;2
0;0;2;43;10;0;2060;49;12;7,767;0,7215;10;10;5;1;15
0;1;0;48;11;0;1955;46;8;4,1269;0,7515;7;7;3;0;25
0;1;2;41;14;0;2500;44;17;10;0,6615;17;7;14;1;1
0;0;0;50;12;0;2750;52;10;4,0727;0,7515;7;10;7,5;1;0
0;0;0;58;8;0;2040;59;5;7,8529;0,5815;3;3;7,5;0;0
0;0;5;38;13;0;3275;43;15;7,8168;0,6615;12;16;7,5;1;0
0;0;1;37;12;0;2400;39;12;9,1667;0,6615;7;12;5;0;8
0;0;0;50;16;0;2024;51;17;29,644;0,4415;12;7;9,5;1;22
0;0;4;42;8;0;1840;44;6;4,0761;0,7915;3;3;7,5;1;5
0;1;3;37;9;0;2033;37;17;8,362;0,7215;10;10;9,5;1;10
0;0;2;41;16;0;1946;40;17;12,062;0,4415;16;17;9;1;1
0;0;2;31;12;0;3660;31;12;2,3251;0,7515;10;7;3;0;1
0;0;0;51;12;0;2088;55;11;10,01;0,6615;7;7;5;1;6
0;1;2;36;12;0;2048;41;12;5,2734;0,7515;7;7;5;0;4
0;0;0;54;15;0;1920;52;15;10,417;0,6915;14;16;14;0;6
0;0;0;49;12;0;2000;54;12;7,5;0,7215;7;7;14;1;0
0;1;1;48;9;0;2204;47;8;6,3521;0,7215;10;12;5;0;1
0;0;2;42;9;0;3157;45;10;3,8071;0,7215;7;14;9,5;0;3
0;1;2;41;12;0;1665;44;14;9,9099;0,7215;3;16;9,5;1;15
0;0;0;55;16;0;2304;56;11;2,6701;0,7215;12;12;7,5;0;33
0;0;0;42;9;0;2275;46;8;4,3956;0,7515;7;7;5;1;2
0;0;1;32;15;0;2760;33;17;7,971;0,6615;12;12;7,5;1;1
0;0;2;43;12;0;1750;44;14;15,429;0,5815;7;7;7,5;1;10
0;1;3;33;12;0;3366;37;13;1,9854;0,7215;7;7;5;1;0
0;0;1;48;15;0;2205;51;16;7,2562;0,7215;10;14;9,5;1;14
0;0;2;43;12;0;1990;48;9;7,0352;0,7215;3;16;7,5;1;15
0;1;3;47;17;0;1930;57;16;8,1347;0,6915;14;12;7,5;1;15
0;0;0;54;12;0;1350;60;12;11,981;0,5515;12;12;7,5;1;10
0;0;1;51;12;0;3340;52;12;5,9922;0,6615;7;3;7,5;1;6
0;0;1;51;10;0;960;57;10;4,1458;0,7515;14;7;7,5;0;18
0;1;1;43;13;0;2732;42;13;8,5102;0,6215;12;10;7,5;0;15
0;0;0;53;12;0;1624;59;8;2,9631;0,7515;0;3;3;0;30
0;1;1;34;11;0;1804;36;12;8,8149;0,6215;7;7;7,5;0;15
0;1;1;31;8;0;2805;31;10;2,4955;0,7815;7;7;7,5;0;10
0;0;0;56;12;0;2160;59;8;4,8843;0,7515;10;7;7,5;1;0
0;0;1;42;16;0;2052;55;15;10,2;0,6615;12;7;9,5;1;0
0;0;2;32;12;0;2250;35;16;10;0,6615;12;14;9,5;1;4
0;1;3;35;12;0;1120;37;12;5,3571;0,8015;12;12;9,5;1;0
0;1;1;30;12;0;2450;36;14;9,7959;0,6615;14;14;9,5;1;3
0;0;0;51;10;0;3432;50;11;1,3741;0,7715;7;7;7,5;0;20
0;0;3;47;12;0;2700;48;12;3,463;0,7215;7;7;3;0;3
0;0;1;54;12;0;2817;55;13;5,0408;0,7215;3;7;3;0;1
0;3;0;31;15;0;3000;34;17;16,667;0,4415;7;10;7,5;1;5
0;0;0;47;10;0;2125;45;11;4,3294;0,7515;7;7;5;1;7
0;0;3;47;14;0;1864;42;16;10,193;0,6915;7;7;11;1;6
0;0;3;40;12;0;2400;39;12;7,5833;0,7215;7;7;7,5;1;2
0;0;0;48;8;0;2160;50;7;4,1204;0,7515;3;3;7,5;0;0
0;0;7;34;8;0;1040;51;7;4,8077;0,9415;3;7;11;1;10
0;0;3;38;12;0;2450;42;16;3,1531;0,7515;7;10;9,5;1;6
0;1;3;32;12;0;2500;34;16;19;0,4615;7;10;7,5;1;4
0;0;1;48;16;0;2131;45;17;6,0535;0,6215;12;7;7,5;1;8
0;0;2;41;12;0;2165;46;7;3,7875;0,7715;7;7;7,5;0;18
0;0;2;49;5;0;2230;43;3;2,9287;0,7815;0;0;7,5;0;7
0;0;0;59;8;0;1995;55;12;9,2972;0,6915;3;7;11;1;15
0;0;0;58;13;0;2025;57;16;9,3827;0,6615;7;7;11;1;7
0;0;3;41;12;0;2450;48;15;26,531;0,4415;7;14;14;1;8
0;0;2;45;12;0;2160;45;12;40,509;0,4415;10;10;14;1;8
0;1;1;30;14;0;1715;32;17;15,16;0,6215;12;10;11;0;3
0;0;1;41;12;0;3018;42;16;18,964;0,4415;7;7;7,5;1;10
0;2;0;30;12;0;2216;33;16;5,4152;0,7515;10;10;7,5;0;9
0;0;1;53;12;0;2499;54;12;1,9988;0,7515;12;7;7,5;1;24
0;0;0;31;12;0;2250;37;14;8;0,6915;10;7;7,5;0;12
0;0;2;43;14;0;2116;44;17;11,153;0,6615;12;12;11;1;2
0;1;1;31;12;0;2016;30;14;5,9524;0,7515;12;14;14;1;6
0;0;0;51;12;0;2470;60;10;2,1194;0,7515;10;3;7,5;1;18
0;0;0;43;9;0;1640;45;12;3,8384;0,7715;7;7;5;1;17
0;1;2;31;14;0;2016;34;16;17,361;0,4915;16;16;5;1;7
0;0;0;48;11;0;2185;48;12;8,0092;0,6915;7;10;9,5;1;6
0;1;1;31;12;0;800;33;14;3;0,8015;12;7;9,5;1;10
0;0;1;44;12;0;3022;46;12;10,589;0,5815;7;7;7,5;1;5
0;0;1;48;11;0;1512;50;14;10,913;0,7215;10;7;7,5;1;7
0;0;1;53;12;0;2677;53;12;5,6033;0,7215;0;0;7,5;1;11
0;0;3;42;10;0;3150;44;12;7,9365;0,6615;3;3;11;1;14
0;2;6;39;12;0;1430;34;12;2,9476;0,9415;7;0;9,5;1;5
0;1;2;32;10;0;3307;36;4;2,0562;0,7915;7;3;7,5;0;2
0;0;2;36;12;0;3120;39;12;1,3013;0,7915;7;12;14;0;4
0;0;2;40;13;0;3020;43;16;9,2715;0,6215;10;10;9,5;1;5
0;2;3;31;12;0;2056;33;12;4,8638;0,7715;12;12;7,5;0;14
0;0;0;43;12;0;2383;43;12;1,0898;0,7515;10;3;7,5;0;4
0;0;0;60;12;0;1705;55;8;12,44;0,6215;12;12;14;1;15
0;0;3;39;9;0;3120;48;12;6,0897;0,6915;7;7;11;1;12
